"ein","name","city","state","propublica_url","foundation_website","scholarship_url","notes"
"631074254","Limestone Area Community Foundation Inc","Athens","AL","https://projects.propublica.org/nonprofits/organizations/631074254","https://limestoneareacommunityfoundation.com","","Est. 1951 as Buddy Markowitz Scholarship Endowment; limited current scholarship info online; contact directly"
"203733823","The Fayette Community Foundation","Fayette","AL","https://projects.propublica.org/nonprofits/organizations/203733823","https://www.faycofoundation.com","https://www.faycofoundation.com/scholarships","Multiple scholarships $1K-$9.5K for Fayette County high school seniors; applications Jan-Mar"
"521055743","Arkansas Community Foundation Inc","Little Rock","AR","https://projects.propublica.org/nonprofits/organizations/521055743","https://www.arcf.org","https://www.arcf.org/apply/scholarships/","Hundreds of scholarships; eligibility quiz portal opens Feb 1; statewide for AR students"
"311500805","Union County Community Foundation","El Dorado","AR","https://projects.propublica.org/nonprofits/organizations/311500805","https://www.uccfar.org","https://www.uccfar.org","Scholarships for Union County AR students; applications Feb 20-Mar 31; most school-specific"
"942681765","Community Foundation For Southern Arizona","Tucson","AZ","https://projects.propublica.org/nonprofits/organizations/942681765","https://cfsaz.org","https://cfsaz.org/scholarships/","75+ scholarships via single form; General Scholarship $12.5K over 4 years; Southern AZ graduates"
"462275877","Creighton Community Foundation","Phoenix","AZ","https://projects.propublica.org/nonprofits/organizations/462275877","https://www.creightoncommunityfoundation.org","","Focuses on community programs for Creighton School District #14; no specific scholarship program found"
"860537424","Foothills Community Foundation Inc","Scottsdale","AZ","https://projects.propublica.org/nonprofits/organizations/860537424","https://foothillscommunityfoundation.org","https://foothillscommunityfoundation.org/scholarships/","Serves Cave Creek, Carefree, N Scottsdale; education and community programs since 1986"
"860800268","Fountain Hills Community Foundation","Fountain Hls","AZ","https://projects.propublica.org/nonprofits/organizations/860800268","https://fountainhillsgives.com","","No direct scholarship program found; community grants focus. Related: Golden Eagle Education Foundation offers local scholarships"
"843079860","Helping Others Together Community Foundation","Goodyear","AZ","https://projects.propublica.org/nonprofits/organizations/843079860","https://hotcommunityfoundation.org","","100% volunteer org; focuses on children/families in West Valley; no scholarship program found"
"860767009","Kingman Community Foundation Inc","Kingman","AZ","https://projects.propublica.org/nonprofits/organizations/860767009","","","Limited web presence; no scholarship program found. KRMC Foundation offers nursing scholarships separately"
"843802548","Maricopa Community Foundation","Maricopa","AZ","https://projects.propublica.org/nonprofits/organizations/843802548","https://mcfaz.org","https://mcfaz.org/community-scholarship-program/","Community Scholarship Program; single application; need-based for Maricopa city students"
"461959069","One Az Community Foundation Inc","Phoenix","AZ","https://projects.propublica.org/nonprofits/organizations/461959069","","","Limited info found; may be related to OneAZ Credit Union Foundation. See Arizona Community Foundation for AZ scholarships"
"823791959","Rio Verde Community Foundation Inc","Rio Verde","AZ","https://projects.propublica.org/nonprofits/organizations/823791959","https://rioverdecommunityfoundation.org","https://rioverdecommunityfoundation.org/home/funds/","Flagship scholarship program; 4 scholarships in 2024; Employee and Dependent Scholarship Fund"
"860999490","Sun City Vistoso Community Foundation","Oro Valley","AZ","https://projects.propublica.org/nonprofits/organizations/860999490","https://www.foundationscov.org","","Focuses on SCOV resident quality of life; $1M+ distributed since 1998; no individual scholarships found"
"463106546","Antioch Community Foundation","Antioch","CA","https://projects.propublica.org/nonprofits/organizations/463106546","https://acfcommunityimpact.org","","Grants to nonprofits only (not individuals); Youth of Promise grants; no student scholarships"
"943127427","Belvedere Community Foundation","Belvedere","CA","https://projects.propublica.org/nonprofits/organizations/943127427","https://belvederecommunityfoundation.com","https://belvederecommunityfoundation.com/grant-information/","Grants for education/community in Marin County; summer camp scholarships; within 25mi of 94920"
"680472056","Calaveras Community Foundation","Angels Camp","CA","https://projects.propublica.org/nonprofits/organizations/680472056","https://calaverascommunityfoundation.org","https://calaverascommunityfoundation.org/grants-scholarships/competitive-grants-given/","40+ funds and scholarships for Calaveras County; $3.7M distributed since 2000"
"261439128","Caring Community Foundation","Calabasas","CA","https://projects.propublica.org/nonprofits/organizations/261439128","","","Very limited web presence; no scholarship program found"
"946289551","Coalinga Community Foundation","Coalinga","CA","https://projects.propublica.org/nonprofits/organizations/946289551","","","Operates thrift shop; $9.5K in grants (2023); limited scholarship info. See West Hills College Foundation for local scholarships"
"421676256","Coasthills Community Foundation","Orcutt","CA","https://projects.propublica.org/nonprofits/organizations/421676256","https://coasthills.coop/resources/about/community-involvement","","CoastHills Credit Union foundation; supports nonprofits up to $500; no individual scholarships found"
"852982760","Coronado Community Foundation","Coronado","CA","https://projects.propublica.org/nonprofits/organizations/852982760","https://www.ccfcoronado.org","","Focuses on community grants; health/wellness, arts, community preservation; no specific scholarship program found"
"680348673","Crockett Community Foundation","Crockett","CA","https://projects.propublica.org/nonprofits/organizations/680348673","https://www.crockettcommunityfoundation.org","","Est. 1994; grants $1K-$25K for Crockett/Port Costa area; education grants but no specific scholarships found"
"954725924","Desert Community Foundation","Palm Desert","CA","https://projects.propublica.org/nonprofits/organizations/954725924","https://www.desertfoundation.org","https://www.desertfoundation.org","200+ scholarships annually; $1.6M in scholarships since founding; Coachella Valley residents"
"770443958","Hanford Community Foundation","Hanford","CA","https://projects.propublica.org/nonprofits/organizations/770443958","","","Limited web presence for foundation itself; see Hanford Education Foundation for local scholarships"
"330457858","International Community Foundation","National City","CA","https://projects.propublica.org/nonprofits/organizations/330457858","https://icfdn.org","https://icfdn.org/tag/scholarships/","International focus; scholarships via partner orgs for Latin American students; workforce/vocational education"
"946098382","Jewish Community Foundation","Berkeley","CA","https://projects.propublica.org/nonprofits/organizations/946098382","https://jewishfed.org","https://jewishfed.org/what-we-do/our-programs/scholarships/college-scholarships/","~70 scholarships/$400K annually; Jewish students in SF Bay Area; multiple named scholarships $1K-$5K"
"770555874","Kern Community Foundation","Bakersfield","CA","https://projects.propublica.org/nonprofits/organizations/770555874","https://www.kernfoundation.org","https://www.kernfoundation.org/students/","~$500K in scholarships annually; single application for dozens of opportunities; Kern County students"
"954715293","Kinecta Community Foundation","Manhattan Bch","CA","https://projects.propublica.org/nonprofits/organizations/954715293","https://www.kinecta.org/community","https://www.kinecta.org/community","8 scholarships of $2K each annually; age 24 or younger; essay + 2 recommendation letters required"
"800022897","Lafayette Community Foundation","Lafayette","CA","https://projects.propublica.org/nonprofits/organizations/800022897","https://www.lafayettecf.org","","Grants to nonprofits; $1.3M+ since 1999; no individual scholarship program found"
"770549615","Mammoth Community Foundation","Mammoth Lakes","CA","https://projects.propublica.org/nonprofits/organizations/770549615","https://www.mammothfoundation.org","https://www.mammothfoundation.org","28 college scholarships ($61K) annually; athlete grants; $1M+ to schools since 2010. See also Mammoth Lakes Foundation for Cerro Coso scholarships"
"474521886","Moraga Community Foundation","Moraga","CA","https://projects.propublica.org/nonprofits/organizations/474521886","","","Moraga Community Foundation; limited web presence; no scholarship info found"
"200253310","Pasadena Community Foundation","Pasadena","CA","https://projects.propublica.org/nonprofits/organizations/200253310","https://pasadenacf.org","https://pasadenacf.org/programs/scholarships/","Multiple scholarship programs; PCF Scholars for PUSD grads at PCC; online application portal"
"201485011","Placer Community Foundation","Auburn","CA","https://projects.propublica.org/nonprofits/organizations/201485011","https://www.placercf.org","https://www.placercf.org","$41K+ in scholarships annually; renewable awards up to $4K; multiple named funds; Placer County area"
"992859752","Poway Community Foundation","Poway","CA","https://projects.propublica.org/nonprofits/organizations/992859752","https://www.powaycommunityfoundation.org","","Grants to nonprofits only; $106K in grants 2025; no individual scholarships"
"201038213","Savusavu Community Foundation","Villa Park","CA","https://projects.propublica.org/nonprofits/organizations/201038213","","","Savusavu Community Foundation, Villa Park CA; very limited web presence; no scholarship info found"
"680354961","Solano Community Foundation","Fairfield","CA","https://projects.propublica.org/nonprofits/organizations/680354961","https://www.solanocf.org","https://www.solanocf.org/Funds/Public/FundList.aspx?hFundType=2","Nelson Scholarships $20K over 4 years; Briggs $2K; Powell $5K; Fairfield/Suisun seniors"
"680483054","Stanislaus Community Foundation","Modesto","CA","https://projects.propublica.org/nonprofits/organizations/680483054","https://www.stanislauscf.org","https://www.stanislauscf.org/scholarships","$300K+ in scholarships annually; common online application; multiple named funds; Stanislaus County residents"
"330965209","Trinity Community Foundation","Redlands","CA","https://projects.propublica.org/nonprofits/organizations/330965209","","","Limited web presence; see Redlands Community Scholarship Foundation (redlandsscholarships.org) for local scholarships"
"330558228","Tustin Community Foundation","Tustin","CA","https://projects.propublica.org/nonprofits/organizations/330558228","https://tustincommunityfoundation.org","","Grants to nonprofits; supports Tustin Dollars for Scholars indirectly; no direct individual scholarships"
"946108531","Woodside Community Foundation","Woodside","CA","https://projects.propublica.org/nonprofits/organizations/946108531","https://woodsidegiving.org","","Since 1952; music scholarships via Woodside Village Band Fund; community grants focus"
"752971085","Yolo Community Foundation","Woodland","CA","https://projects.propublica.org/nonprofits/organizations/752971085","https://yolocf.org","https://yolocf.org/scholarships/","13 scholarships for Yolo County youth; up to $10K awards; deadline Mar 13; multiple named funds"
"833857210","Applewood Community Foundation","Lakewood","CO","https://projects.propublica.org/nonprofits/organizations/833857210","","","Applewood Community Foundation Lakewood CO; very limited web presence; no scholarship info found"
"841246756","Broomfield Community Foundation","Broomfield","CO","https://projects.propublica.org/nonprofits/organizations/841246756","https://www.broomfieldfoundation.org","https://www.broomfieldfoundation.org/giving/view-all-scholarships","Multiple named scholarships avg $2K; opens late Jan, closes Mar; merit/need/activities based"
"264605574","Chaffee County Community Foundation","Buena Vista","CO","https://projects.propublica.org/nonprofits/organizations/264605574","https://www.chaffeecommunity.org","","Est. 2018; community/impact grants to orgs; Dan Daly wrestling fund; no individual student scholarships found"
"274328521","Denver Post Community Foundation","Denver","CO","https://projects.propublica.org/nonprofits/organizations/274328521","","","Denver Post Community Foundation; limited info; likely media-affiliated community grants"
"203577455","Douglas County Community Foundation","Parker","CO","https://projects.propublica.org/nonprofits/organizations/203577455","","","Douglas County Community Foundation Parker CO; limited web presence; no scholarship info found"
"471915583","Eagle Valley Community Foundation","Vail","CO","https://projects.propublica.org/nonprofits/organizations/471915583","https://eaglevalleycf.org","","Community programs focus (food, health, leadership); no direct scholarships. See Vail Valley Foundation YouthPower365 for local scholarships"
"463894713","Longmont Community Foundation","Longmont","CO","https://projects.propublica.org/nonprofits/organizations/463894713","","","Longmont Community Foundation CO; limited web presence; see Community Foundation Boulder County for area scholarships"
"840991533","Northglenn Community Foundation","Northglenn","CO","https://projects.propublica.org/nonprofits/organizations/840991533","","","Northglenn Community Foundation CO; limited web presence; no scholarship info found"
"841339670","Pikes Peak Community Foundation","Colorado Spgs","CO","https://projects.propublica.org/nonprofits/organizations/841339670","https://www.ppcf.org","https://www.ppcf.org/community-investment/scholarships/","Multiple named scholarship funds; since 1928; Pikes Peak region students; college/university/technical training"
"841526370","Riverfront Park Community Foundation","Denver","CO","https://projects.propublica.org/nonprofits/organizations/841526370","","","Riverfront Park Community Foundation Denver; park/community focus; no scholarships"
"840920862","Rose Community Foundation","Denver","CO","https://projects.propublica.org/nonprofits/organizations/840920862","https://rcfdenver.org","","Major Denver foundation ($12.5M grants/year); focuses on org grants not individual scholarships; Jewish community origin"
"841449305","Southern Colorado Community Foundation","Pueblo","CO","https://projects.propublica.org/nonprofits/organizations/841449305","https://sccfcolorado.org","https://sccfcolorado.org","57 scholarships/$225K awarded in 2024; serves 18 SE Colorado counties; since 1998"
"841171836","The Community Foundation","Boulder","CO","https://projects.propublica.org/nonprofits/organizations/841171836","https://www.commfound.org","https://www.commfound.org/programs-and-initiatives/","Since 1991; managed scholarship funds including Lyons, Milagros, Zoe Chase Memorial; Boulder County"
"841315296","Weld Community Foundation","Greeley","CO","https://projects.propublica.org/nonprofits/organizations/841315296","https://weldcommunityfoundation.org","https://weldcommunityfoundation.org/students/","160+ scholarships/$585K annually; $6M+ since 1997; single application process; Weld County students"
"840794536","Yampa Valley Community Foundation","Steamboat Spr","CO","https://projects.propublica.org/nonprofits/organizations/840794536","https://yvcf.org","https://yvcf.org/scholarships/","30+ scholarships/$600K annually; Routt & Moffat counties; apps open Feb 1; diverse fields"
"841155472","Yuma Community Foundation","Yuma","CO","https://projects.propublica.org/nonprofits/organizations/841155472","","","Grants and scholarships to YHS seniors since 1990; apply via Main Street Insurance Yuma CO; also see NoCo Foundation Eastern CO Scholarship"
"61032832","Branford Community Foundation","Branford","CT","https://projects.propublica.org/nonprofits/organizations/61032832","","","Branford Community Foundation CT; limited web presence; no scholarship info found"
"264306194","Community Foundation For St Vincent And The Grenadines Inc","Hebron","CT","https://projects.propublica.org/nonprofits/organizations/264306194","","","Community Foundation for St Vincent and Grenadines; Hebron CT; international focus; no scholarship info found"
"61477711","Community Foundation Of Middlesex County Inc","Middletown","CT","https://projects.propublica.org/nonprofits/organizations/61477711","https://middlesexcountycf.org","https://middlesexcountycf.org","Grantmaking for Middlesex County CT communities; contact for scholarship details"
"421684133","Greater Hartford Community Foundation Inc","Hartford","CT","https://projects.propublica.org/nonprofits/organizations/421684133","https://www.hfpg.org","https://www.hfpgscholarships.org/","Largest CT community foundation; 80+ scholarship funds; $30M awarded since 1945; Greater Futures up to $100K"
"273784782","Mid State Realtors Community Foundation","Plainville","CT","https://projects.propublica.org/nonprofits/organizations/273784782","","","Mid State Realtors Community Foundation; Plainville CT; realtor-affiliated; no scholarship info found"
"60970466","New Canaan Community Foundation Inc","New Canaan","CT","https://projects.propublica.org/nonprofits/organizations/60970466","https://www.newcanaancf.org","https://www.newcanaancf.org/apply-scholarships","Sapienza Scholarship up to $10K/yr renewable 4 yrs; healthcare scholarship; need-based; New Canaan residents"
"61528030","New Fairfield Community Foundation Inc","New Fairfield","CT","https://projects.propublica.org/nonprofits/organizations/61528030","","","New Fairfield Community Foundation CT; limited web presence; no scholarship info found"
"462161591","Newtown Sandy Hook Community Foundation Inc","Newtown","CT","https://projects.propublica.org/nonprofits/organizations/462161591","","","Newtown Sandy Hook Community Foundation CT; established post-2012; community support focus"
"61565733","Northwest Connecticut Community Foundation Inc","Torrington","CT","https://projects.propublica.org/nonprofits/organizations/61565733","https://www.yournccf.org","https://www.yournccf.org/information-for/scholarship-opportunities/students","$200K+ in scholarships annually; 300+ funds; 20 NW CT towns; seniors and college students; deadline Apr 1"
"202246985","Osterman Community Foundation","Cheshire","CT","https://projects.propublica.org/nonprofits/organizations/202246985","","","Osterman Community Foundation Cheshire CT; limited web presence; no scholarship info found"
"200820971","South Windsor Community Foundation Inc","South Windsor","CT","https://projects.propublica.org/nonprofits/organizations/200820971","","","South Windsor Community Foundation CT; limited web presence; no scholarship info found"
"841637102","Valley Community Foundation Inc","New Haven","CT","https://projects.propublica.org/nonprofits/organizations/841637102","https://www.valleyfoundation.org","https://www.valleyfoundation.org/impacting-the-valley/apply-for-a-grant/scholarships","100+ scholarships; serves Ansonia, Derby, Oxford, Seymour, Shelton; apply via school counselors"
"387161863","Alliance Community Foundation","Wilmington","DE","https://projects.propublica.org/nonprofits/organizations/387161863","","","Alliance Community Foundation Wilmington DE; limited web presence; no scholarship info found"
"455425037","Belleair Community Foundation Inc","Belleair","FL","https://projects.propublica.org/nonprofits/organizations/455425037","","","Belleair Community Foundation FL; limited web presence; no scholarship info found"
"237410312","Cape Coral Community Foundation","Cape Coral","FL","https://projects.propublica.org/nonprofits/organizations/237410312","https://www.capecoralcf.org","https://www.capecoralcf.org/scholarship-funds.html","Multiple named scholarship funds; Cape Coral graduating seniors; 4-year and single awards available"
"593649871","Givewell Community Foundation Inc","Lakeland","FL","https://projects.propublica.org/nonprofits/organizations/593649871","https://www.givecf.org","https://www.givecf.org","400+ funds; Polk/Hardee/Highlands counties; scholarships for graduating seniors; music scholarships; since 1997"
"201729243","Indian River Community Foundation","Vero Beach","FL","https://projects.propublica.org/nonprofits/organizations/201729243","https://ircommunityfoundation.org","https://www.sfindianriver.org/","Related: Scholarship Foundation of Indian River County awards $798K+/yr; $4K-$30K renewable; need-based"
"650833500","Manatee Community Foundation Inc","Bradenton","FL","https://projects.propublica.org/nonprofits/organizations/650833500","","","Manatee Community Foundation Bradenton FL; contact for scholarship info"
"261838979","Athens Area Community Foundation Inc","Athens","GA","https://projects.propublica.org/nonprofits/organizations/261838979","https://athensareacf.org","https://athensareacf.org","$38M+ granted since 2008; scholarships deadline Mar 1; serves 7 NE GA counties; apply via online portal"
"205103715","Barrow Community Foundation","Winder","GA","https://projects.propublica.org/nonprofits/organizations/205103715","","","Barrow Community Foundation Winder GA; limited web presence; no scholarship info found"
"474252695","Community Foundation For Greater Rome","Rome","GA","https://projects.propublica.org/nonprofits/organizations/474252695","","","Community Foundation for Greater Rome GA; limited web presence; no scholarship info found"
"582348181","The Coweta Community Foundation Inc","Newnan","GA","https://projects.propublica.org/nonprofits/organizations/582348181","https://cowetafoundation.org","https://cowetafoundation.org/grants/","W.C. Adamson Scholarship Fund; $2K awards; Coweta County residents; est. 1997; now Caring Communities Foundation"
"364641613","Hawaii Catholic Community Foundation","Honolulu","HI","https://projects.propublica.org/nonprofits/organizations/364641613","","","Hawaii Catholic Community Foundation; religious focus; contact for scholarship info"
"460709000","Kauai North Shore Community Foundation","Princeville","HI","https://projects.propublica.org/nonprofits/organizations/460709000","","","Kauai North Shore Community Foundation; limited web presence; no scholarship info found"
"134364350","Realtors Association Of Maui Community Foundation Inc","Kahului","HI","https://projects.propublica.org/nonprofits/organizations/134364350","","","Realtors Association of Maui Community Foundation; realtor-affiliated; no scholarship info found"
"203850596","Ankeny Community Foundation","Ankeny","IA","https://projects.propublica.org/nonprofits/organizations/203850596","","","Ankeny Community Foundation IA; limited web presence; no scholarship info found"
"421468316","Bancroft Community Foundation Inc","Algona","IA","https://projects.propublica.org/nonprofits/organizations/421468316","","","Bancroft Community Foundation Algona IA; limited web presence; no scholarship info found"
"421479364","Brooklyn Community Foundation Inc","Brooklyn","IA","https://projects.propublica.org/nonprofits/organizations/421479364","","","Brooklyn Community Foundation Brooklyn IA; limited web presence; no scholarship info found"
"421527405","Calvin Community Foundation","Des Moines","IA","https://projects.propublica.org/nonprofits/organizations/421527405","","","Calvin Community Foundation Des Moines IA; likely retirement community; no scholarship info found"
"510244945","Capstone Community Foundation Inc","Newton","IA","https://projects.propublica.org/nonprofits/organizations/510244945","","","Capstone Community Foundation Newton IA; limited web presence; no scholarship info found"
"300036983","Cherokee Community Foundation","Cherokee","IA","https://projects.propublica.org/nonprofits/organizations/300036983","","","Cherokee Community Foundation IA; limited web presence; no scholarship info found"
"421520672","Gladbrook Community Foundation","Traer","IA","https://projects.propublica.org/nonprofits/organizations/421520672","","","Gladbrook Community Foundation Traer IA; small community; limited web presence"
"421253129","Greater Greenfield Community Foundation","Greenfield","IA","https://projects.propublica.org/nonprofits/organizations/421253129","","","Greater Greenfield Community Foundation IA; limited web presence"
"421298055","Greater Poweshiek Community Foundation","Grinnell","IA","https://projects.propublica.org/nonprofits/organizations/421298055","https://greaterpcf.org","https://greaterpcf.org/funds/","Tiger Scholarship Fund $500 for all GHS grads who apply; multiple named scholarships; Poweshiek County"
"391905948","Jasper Community Foundation","Newton","IA","https://projects.propublica.org/nonprofits/organizations/391905948","","","Jasper Community Foundation Newton IA; limited web presence"
"201838372","Keokuk Area Community Foundation","Keokuk","IA","https://projects.propublica.org/nonprofits/organizations/201838372","","","Keokuk Area Community Foundation IA; limited web presence"
"421374038","Pella Community Foundation","Pella","IA","https://projects.propublica.org/nonprofits/organizations/421374038","https://www.pellacommunityfoundation.org","https://www.pellacommunityfoundation.org","Pella area; see Pella Dollars for Scholars for student scholarships; Rolscreen Foundation $10K/4yrs"
"421323904","Siouxland Community Foundation","Sioux City","IA","https://projects.propublica.org/nonprofits/organizations/421323904","https://siouxlandcommunityfoundation.org","https://siouxlandcommunityfoundation.org/scholarships/","$3M+/yr in grants; apps Nov 1-Feb 1; Kind World Scholarship up to $40K; multiple funds"
"421366419","Traer Community Foundation","Traer","IA","https://projects.propublica.org/nonprofits/organizations/421366419","","","Traer Community Foundation IA; small community; limited web presence"
"473373953","Waterloo Community Foundation","Waterloo","IA","https://projects.propublica.org/nonprofits/organizations/473373953","","","Waterloo Community Foundation IA; limited web presence"
"421494971","Wayne Community Foundation","Corydon","IA","https://projects.propublica.org/nonprofits/organizations/421494971","","","Wayne Community Foundation Corydon IA; limited web presence"
"237196646","Wilton Community Foundation","Muscatine","IA","https://projects.propublica.org/nonprofits/organizations/237196646","","","Wilton Community Foundation Muscatine IA; limited web presence"
"311575176","Woodbine Community Foundation","Woodbine","IA","https://projects.propublica.org/nonprofits/organizations/311575176","","","Woodbine Community Foundation IA; limited web presence"
"820518701","Latah County Community Foundation Inc","Moscow","ID","https://projects.propublica.org/nonprofits/organizations/820518701","","","Latah County Community Foundation Moscow ID; limited web presence"
"461324853","Malad City Community Foundation Inc","Malad City","ID","https://projects.propublica.org/nonprofits/organizations/461324853","","","Malad City Community Foundation ID; small community; limited web presence"
"455121054","Meadows Valley Community Foundation Inc","New Meadows","ID","https://projects.propublica.org/nonprofits/organizations/455121054","","","Meadows Valley Community Foundation New Meadows ID; small community"
"261119702","Twin Falls Community Foundation Inc","Twin Falls","ID","https://projects.propublica.org/nonprofits/organizations/261119702","","","Twin Falls Community Foundation ID; limited web presence"
"820536501","Upper Clearwater Community Foundation Inc","Kamiah","ID","https://projects.propublica.org/nonprofits/organizations/820536501","","","Upper Clearwater Community Foundation Kamiah ID; small community"
"454726039","Arthur Community Foundation","Arthur","IL","https://projects.propublica.org/nonprofits/organizations/454726039","","","Arthur Community Foundation IL; small community"
"364244673","Barrington Area Community Foundation","Barrington","IL","https://projects.propublica.org/nonprofits/organizations/364244673","","","Barrington Area Community Foundation IL; contact for scholarship info"
"204973846","Boone County Community Foundation","Belvidere","IL","https://projects.propublica.org/nonprofits/organizations/204973846","","","Boone County Community Foundation Belvidere IL; limited web presence"
"363788167","Dekalb County Community Foundation","Sycamore","IL","https://projects.propublica.org/nonprofits/organizations/363788167","https://dekalbccf.org","https://dekalbccf.org/receive/scholarship-application/","100+ scholarships; Universal Application through Apr 1; since 1993; DeKalb County IL students"
"363978733","Dupage Community Foundation","Downers Grove","IL","https://projects.propublica.org/nonprofits/organizations/363978733","https://www.dupagefoundation.org","https://dupagefoundation.org/who-we-are/foundation-funds.html/title/scholarship-funds","Multiple named scholarship funds; apply via school guidance office; DuPage County IL"
"367146151","Edwardsville Community Foundation","Edwardsville","IL","https://projects.propublica.org/nonprofits/organizations/367146151","","","Edwardsville Community Foundation IL; limited web presence"
"371381626","Elmwood Community Foundation","Elmwood","IL","https://projects.propublica.org/nonprofits/organizations/371381626","","","Elmwood Community Foundation IL; small community"
"300080762","Freeport Community Foundation","Freeport","IL","https://projects.propublica.org/nonprofits/organizations/300080762","","","Freeport Community Foundation IL; limited web presence"
"203654399","Lake County Community Foundation","Grayslake","IL","https://projects.propublica.org/nonprofits/organizations/203654399","","","Lake County Community Foundation Grayslake IL; limited web presence"
"455620336","Mcdonough County Community Foundation","Macomb","IL","https://projects.propublica.org/nonprofits/organizations/455620336","","","McDonough County Community Foundation Macomb IL; limited web presence"
"881542187","Monticello Community Foundation","Monticello","IL","https://projects.propublica.org/nonprofits/organizations/881542187","","","Monticello Community Foundation IL; limited web presence"
"364299824","Morris Community Foundation","Morris","IL","https://projects.propublica.org/nonprofits/organizations/364299824","","","Morris Community Foundation IL; limited web presence"
"371397503","Morton Community Foundation","Morton","IL","https://projects.propublica.org/nonprofits/organizations/371397503","","","Morton Community Foundation IL; limited web presence"
"203879466","Rochelle Area Community Foundation","Rochelle","IL","https://projects.propublica.org/nonprofits/organizations/203879466","","","Rochelle Area Community Foundation IL; limited web presence"
"371571293","Schuyler County Community Foundation","Rushville","IL","https://projects.propublica.org/nonprofits/organizations/371571293","","","Schuyler County Community Foundation Rushville IL; limited web presence"
"371390271","Southeastern Illinois Community Foundation","Effingham","IL","https://projects.propublica.org/nonprofits/organizations/371390271","https://southeasternillinois.org","https://southeasternillinois.org","Multiple scholarships for Effingham County; nursing/health scholarships; common application; deadline Mar 17"
"371373067","Southern Illinois Community Foundation","Marion","IL","https://projects.propublica.org/nonprofits/organizations/371373067","https://www.sicf.org","https://www.sicf.org/ourfunds/scholarships/","$1M+ awarded since 2013; 17 southernmost IL counties; apps open Feb; some scholarships rarely claimed"
"161631602","St Clement Community Foundation","Evansville","IL","https://projects.propublica.org/nonprofits/organizations/161631602","","","St Clement Community Foundation Evansville IL; limited web presence"
"260074023","Benton Community Foundation Inc","Fowler","IN","https://projects.propublica.org/nonprofits/organizations/260074023","","","Benton Community Foundation Fowler IN; limited web presence"
"351772356","Blackford County Community Foundation","Hartford City","IN","https://projects.propublica.org/nonprofits/organizations/351772356","","","Blackford County Community Foundation Hartford City IN; contact for scholarship info"
"351960379","Brown County Community Foundation Inc","Nashville","IN","https://projects.propublica.org/nonprofits/organizations/351960379","","","Brown County Community Foundation Nashville IN; contact for scholarship info"
"352125727","Cass County Community Foundation Inc","Logansport","IN","https://projects.propublica.org/nonprofits/organizations/352125727","","","Cass County Community Foundation Logansport IN; contact for scholarship info"
