"name","type","category","city","state","website","application_url","notes"
"Women in HVACR","Scholarship","HVAC","Phoenix","AZ","https://www.womeninhvacr.org","https://submit.womeninhvacr.org/","Six $5,000 scholarships for women; trade school or 4-yr university; 500-word essay + 2 recommendation letters; deadline May 15 2026"
"NAWIC Founders Scholarship Foundation","Scholarship","Construction","Fort Worth","TX","https://nawic.org","https://nawic.org/nfsf-scholarships/","$500-$2,500; $100K+ awarded annually; women in construction-related training; apprentices/trade school/college; deadline Mar 6 2026"
"AGC Education & Research Foundation","Scholarship","Construction","Arlington","VA","https://www.agc.org","https://www.agc.org/scholarship-application","$1,000/yr Workforce Development (renewable 2yr); 150+ undergrad/grad scholarships; up to $2,500/yr undergrad; opens Mar 1 2026"
"Associated Builders & Contractors (ABC)","Scholarship/Apprenticeship","Construction","Washington","DC","https://www.abc.org","https://www.abc.org/Workforce/Craft-Training-Apprenticeship","Chapter-based apprenticeship programs; $1,000 scholarships for apprentices; 12 trades programs; check local chapter for details"
"Ascendium Tools of the Trade","Scholarship","Construction/Industrial","Madison","WI","https://www.ascendiumeducation.org/tott","https://www.ascendiumeducation.org/tott","$2,000 for tools/clothing/equipment/tuition; WI Technical College System apprentices; construction & industrial trades; 13 years running"
"Automotive Aftermarket Scholarships (UAF)","Scholarship","Automotive","Bethesda","MD","https://automotivescholarships.com","https://automotivescholarships.com","Up to $5,000; single application covers multiple scholarships; 44% of applicants receive award; deadline Mar 31 2026"
"Gene Haas Foundation","Scholarship","Manufacturing/CNC","Oxnard","CA","https://ghaasfoundation.org","https://ghaasfoundation.org","CNC machinist training scholarships; tuition/books/tools; community colleges and trade schools; check website for current cycle"
"SME Education Foundation","Scholarship","Manufacturing","Southfield","MI","https://www.smeef.org","https://www.smeef.org","Millions in annual scholarships; 2-yr/4-yr/advanced degrees in manufacturing/engineering; PRIME program in 128 schools/26 states"
"National Tooling & Machining Assn Foundation","Scholarship","Manufacturing/Machining","Cleveland","OH","https://ntma.org","https://ntma.org","Up to $2,500; trade schools/community colleges/universities; manufacturing/machining programs"
"Rees Scholarship Foundation","Scholarship","HVAC","National","US","https://www.reesscholarship.org","https://www.reesscholarship.org","1-2 semesters tuition for HVAC-R/water heating programs; includes free NATE ready-to-work test; deadlines Jun 1 and Oct 1 2026"
"Precision Metalforming Assn Foundation","Scholarship","Manufacturing","Cleveland","OH","https://www.pma.org","https://www.pma.org/foundation/educational-scholarships.asp","Scholarships for metalforming industry careers; trade school and college students; check website for current deadlines"
"FMA Foundation (Fabricators & Manufacturers)","Scholarship","Manufacturing","Elgin","IL","https://www.fmamfg.org/foundation","https://www.fmamfg.org/foundation/scholarships","Scholarships for manufacturing courses and programs; trade school and college; welding/fabrication/metalworking"
"IBEW/NECA Electrical Apprenticeship","Apprenticeship","Electrical","Washington","DC","https://www.electricaltrainingalliance.org","https://www.electricaltrainingalliance.org","Tuition-free apprenticeship (like full scholarship); earn while you learn; 350,000+ graduates; debt-free; contact local IBEW hall"
"United Association (UA) Plumbing/Pipefitting","Apprenticeship","Plumbing/Pipefitting","Annapolis","MD","https://ua.org","https://ua.org/career-paths/apprentice/","5-year tuition-free apprenticeship; plumber/pipefitter/sprinkler fitter/HVAC-R service tech; earn wages while training"
"Ironworkers Apprenticeship","Apprenticeship","Ironwork","Washington","DC","https://www.ironworkers.org","https://www.ironworkers.org","Paid apprenticeship programs; building and fence programs; healthcare + pension + vacation benefits; apply at local union"
"Helmets to Hardhats","Program/Apprenticeship","General Trades (Veterans)","Washington","DC","https://helmetstohardhats.org","https://helmetstohardhats.org","Free program connecting veterans to construction apprenticeships; no-cost training; Millwright and UA piping scholarships available"
"NCCER Hiring Our Heroes Skilled Trades Academy","Program","General Trades (Veterans)","Alachua","FL","https://www.nccer.org","https://www.nccer.org","6-week in-person training; carpentry/plumbing/electrical/masonry; transitioning service members/veterans/military spouses"
"Federal Pell Grant","Grant","General Trades","National","US","https://studentaid.gov","https://studentaid.gov/h/apply-for-aid","Up to $7,395/yr (2025-26); FAFSA required; accredited trade schools; Workforce Pell expanding July 2026 for 8-week+ programs"
"Workforce Pell Grant (starting July 2026)","Grant","General Trades","National","US","https://studentaid.gov","https://studentaid.gov/h/apply-for-aid","Up to $4,310/yr for short-term programs (8-15 weeks); IT/healthcare/skilled trades; must lead to recognized credential; new for 2026"
"Post-9/11 GI Bill (Chapter 33)","Grant","General Trades (Veterans)","National","US","https://www.va.gov/education/about-gi-bill-benefits/post-9-11/","https://www.va.gov/education/how-to-apply/","Up to 100% tuition + monthly housing stipend; approved trade/vocational schools; 36 months of benefits"
"VR&E Vocational Rehabilitation (Chapter 31)","Grant","General Trades (Veterans)","National","US","https://www.va.gov/careers-employment/vocational-rehabilitation/","https://www.va.gov/careers-employment/vocational-rehabilitation/how-to-apply/","For veterans with service-connected disabilities; covers tuition/tools/supplies; trade school eligible"
"DOL Skills Training Grants","Grant","General Trades","National","US","https://www.dol.gov/agencies/eta/skills-training-grants","https://www.dol.gov/agencies/eta/skills-training-grants","Federal workforce development grants; in-demand occupations; state workforce agencies distribute; check state DOL website"
"NAACP Inspire Scholarships","Scholarship","General Trades","Baltimore","MD","https://naacp.org","https://naacp.org/find-resources/scholarships-awards-internships/scholarships","Merit and need-based; up to $10K; undergrad and grad tracks; applications open Spring 2026"
"Fleetio ASE Certification Scholarship","Scholarship","Automotive","Birmingham","AL","https://www.fleetio.com","https://www.fleetio.com/lp/ase-scholarship","Six scholarships for ASE certifications; covers registration/testing fees for 3 ASE tests + $1,000 for tools/supplies"
"TechForce Foundation","Scholarship","Automotive/Diesel","Scottsdale","AZ","https://www.techforcefoundation.org","https://www.techforcefoundation.org","Multiple partner scholarships (NAPA/WD-40/Ford/Carlyle Tools); rolling applications; automotive/diesel/collision repair"
"Houzz Skilled Trades Residential Construction","Scholarship","Construction","National","US","https://www.houzz.com","https://www.houzz.com","Trade certification or A.S. degrees in residential construction/remodeling; deadline Mar 31 2026"
